@timestamp,_id,_index,_score,fields.clientIP,fields.clientIP.keyword,fields.method,fields.method.keyword,fields.requestID,fields.requestID.keyword,fields.responseTime,fields.route,fields.route.keyword,fields.server,fields.server.keyword,fields.service,fields.service.keyword,fields.severity,fields.severity.keyword,fields.statusCode,fields.timeTaken,fields.timestamp,fields.userAgent,fields.userAgent.keyword,message,message.keyword,severity,severity.keyword
"Apr 2, 2025 @ 17:05:41.145",HHlJ9pUBrXbZ6E0VHAoz,app-logs-2025.04.02,-,::ffff:172.18.0.1,::ffff:172.18.0.1,GET,GET,9fdd02d1-bc44-4b51-808b-f067acd953ce,9fdd02d1-bc44-4b51-808b-f067acd953ce,-,/status/500,/status/500,-,-,server1,server1,ERROR ❌,ERROR ❌,500,2,"Apr 2, 2025 @ 17:05:41.145",axios/1.8.4,axios/1.8.4,🔴 API Error: GET /status/500 - Internal Server Error,🔴 API Error: GET /status/500 - Internal Server Error,error,error
"Apr 2, 2025 @ 17:05:41.143",HXlJ9pUBrXbZ6E0VHAoz,app-logs-2025.04.02,-,::ffff:172.18.0.1,::ffff:172.18.0.1,GET,GET,9fdd02d1-bc44-4b51-808b-f067acd953ce,9fdd02d1-bc44-4b51-808b-f067acd953ce,-,/status/500,/status/500,-,-,server1,server1,ERROR ❌,ERROR ❌,500,0,"Apr 2, 2025 @ 17:05:41.143",axios/1.8.4,axios/1.8.4,❌ Server Error: GET /status/500 - Simulated API Failure,❌ Server Error: GET /status/500 - Simulated API Failure,error,error
"Apr 2, 2025 @ 17:05:40.924",EnlJ9pUBrXbZ6E0VGgrI,app-logs-2025.04.02,-,::ffff:172.18.0.1,::ffff:172.18.0.1,GET,GET,20c2b9e8-a86e-4f1f-955a-264b3fce0394,20c2b9e8-a86e-4f1f-955a-264b3fce0394,0,/status/200,/status/200,server2,server2,-,-,INFO ✅,INFO ✅,200,-,"Apr 2, 2025 @ 17:05:40.924",axios/1.8.4,axios/1.8.4,🟢 Server2 API Call: GET /status/200 - Success,🟢 Server2 API Call: GET /status/200 - Success,info,info
"Apr 2, 2025 @ 17:05:40.707",E3lJ9pUBrXbZ6E0VGgrI,app-logs-2025.04.02,-,::ffff:172.18.0.1,::ffff:172.18.0.1,GET,GET,a33f03e9-4ef3-45fe-9d60-144929c30b1c,a33f03e9-4ef3-45fe-9d60-144929c30b1c,1,/,/,server2,server2,-,-,INFO ✅,INFO ✅,200,-,"Apr 2, 2025 @ 17:05:40.707",axios/1.8.4,axios/1.8.4,🟢 Server2 API Call: GET / - Success,🟢 Server2 API Call: GET / - Success,info,info
"Apr 2, 2025 @ 17:05:40.676",FHlJ9pUBrXbZ6E0VGgrI,app-logs-2025.04.02,-,::ffff:172.18.0.1,::ffff:172.18.0.1,GET,GET,f9f9235c-3099-4989-9ef0-292dc1505d09,f9f9235c-3099-4989-9ef0-292dc1505d09,1,/status/300,/status/300,server2,server2,-,-,INFO 🔄,INFO 🔄,302,-,"Apr 2, 2025 @ 17:05:40.676",axios/1.8.4,axios/1.8.4,🔄 Server2 API Redirect: GET /status/300 - Redirection,🔄 Server2 API Redirect: GET /status/300 - Redirection,info,info
"Apr 2, 2025 @ 17:05:40.467",FXlJ9pUBrXbZ6E0VGgrI,app-logs-2025.04.02,-,::ffff:172.18.0.1,::ffff:172.18.0.1,GET,GET,86643ca9-3473-4585-a652-6e184e510113,86643ca9-3473-4585-a652-6e184e510113,0,/,/,server2,server2,-,-,INFO ✅,INFO ✅,200,-,"Apr 2, 2025 @ 17:05:40.467",axios/1.8.4,axios/1.8.4,🟢 Server2 API Call: GET / - Success,🟢 Server2 API Call: GET / - Success,info,info
"Apr 2, 2025 @ 17:05:40.458",FnlJ9pUBrXbZ6E0VGgrI,app-logs-2025.04.02,-,::ffff:172.18.0.1,::ffff:172.18.0.1,GET,GET,252d5dfe-07ed-44d1-acbc-28cf4453d1ad,252d5dfe-07ed-44d1-acbc-28cf4453d1ad,1,/status/300,/status/300,server2,server2,-,-,INFO 🔄,INFO 🔄,302,-,"Apr 2, 2025 @ 17:05:40.458",axios/1.8.4,axios/1.8.4,🔄 Server2 API Redirect: GET /status/300 - Redirection,🔄 Server2 API Redirect: GET /status/300 - Redirection,info,info
"Apr 2, 2025 @ 17:05:40.239",F3lJ9pUBrXbZ6E0VGgrI,app-logs-2025.04.02,-,::ffff:172.18.0.1,::ffff:172.18.0.1,GET,GET,6680fdb7-c574-47cf-8363-ea25f5b3c684,6680fdb7-c574-47cf-8363-ea25f5b3c684,1,/status/400,/status/400,server2,server2,-,-,WARNING ⚠,WARNING ⚠,400,-,"Apr 2, 2025 @ 17:05:40.239",axios/1.8.4,axios/1.8.4,🟠 Server2 API Error: GET /status/400 - Client Error,🟠 Server2 API Error: GET /status/400 - Client Error,error,error
"Apr 2, 2025 @ 17:05:40.016",GHlJ9pUBrXbZ6E0VGgrI,app-logs-2025.04.02,-,::ffff:172.18.0.1,::ffff:172.18.0.1,GET,GET,c1e541a2-3fce-4153-9c83-e196a6b0738e,c1e541a2-3fce-4153-9c83-e196a6b0738e,1,/invalid-route,/invalid-route,server2,server2,-,-,WARNING ⚠,WARNING ⚠,404,-,"Apr 2, 2025 @ 17:05:40.016",axios/1.8.4,axios/1.8.4,🟠 Server2 API Error: GET /invalid-route - Client Error,🟠 Server2 API Error: GET /invalid-route - Client Error,error,error
"Apr 2, 2025 @ 17:05:39.799",GXlJ9pUBrXbZ6E0VGgrI,app-logs-2025.04.02,-,::ffff:172.18.0.1,::ffff:172.18.0.1,GET,GET,cc104e89-4df4-4072-86bd-720e3e0e28c9,cc104e89-4df4-4072-86bd-720e3e0e28c9,2,/status/504,/status/504,server2,server2,-,-,WARNING ⚠,WARNING ⚠,404,-,"Apr 2, 2025 @ 17:05:39.799",axios/1.8.4,axios/1.8.4,🟠 Server2 API Error: GET /status/504 - Client Error,🟠 Server2 API Error: GET /status/504 - Client Error,error,error
