"@timestamp","_id","_index","_score","fields.clientIP","fields.clientIP.keyword","fields.method","fields.method.keyword","fields.responseTime","fields.route","fields.route.keyword","fields.server","fields.server.keyword","fields.statusCode","fields.timestamp","fields.userAgent","fields.userAgent.keyword",message,"message.keyword",severity,"severity.keyword"
"Mar 31, 2025 @ 18:12:27.067",njo57JUBGhOokez5hTnb,"app-logs-2025.03.31","-","::ffff:172.18.0.1","::ffff:172.18.0.1",GET,GET,1,"/","/",server1,server1,200,"Mar 31, 2025 @ 18:12:27.067","axios/1.8.4","axios/1.8.4","✅ Server1 API Call: GET /","✅ Server1 API Call: GET /",info,info
"Mar 31, 2025 @ 18:12:26.848",nzo57JUBGhOokez5hTnb,"app-logs-2025.03.31","-","::ffff:172.18.0.1","::ffff:172.18.0.1",GET,GET,0,"/","/",server1,server1,200,"Mar 31, 2025 @ 18:12:26.848","axios/1.8.4","axios/1.8.4","✅ Server1 API Call: GET /","✅ Server1 API Call: GET /",info,info
"Mar 31, 2025 @ 18:12:26.631",oDo57JUBGhOokez5hTnb,"app-logs-2025.03.31","-","::ffff:172.18.0.1","::ffff:172.18.0.1",GET,GET,1,"/","/",server1,server1,200,"Mar 31, 2025 @ 18:12:26.631","axios/1.8.4","axios/1.8.4","✅ Server1 API Call: GET /","✅ Server1 API Call: GET /",info,info
"Mar 31, 2025 @ 18:12:26.413",oTo57JUBGhOokez5hTnb,"app-logs-2025.03.31","-","::ffff:172.18.0.1","::ffff:172.18.0.1",GET,GET,1,"/","/",server1,server1,200,"Mar 31, 2025 @ 18:12:26.413","axios/1.8.4","axios/1.8.4","✅ Server1 API Call: GET /","✅ Server1 API Call: GET /",info,info
"Mar 31, 2025 @ 18:12:26.196",ojo57JUBGhOokez5hTnb,"app-logs-2025.03.31","-","::ffff:172.18.0.1","::ffff:172.18.0.1",GET,GET,0,"/invalid-route","/invalid-route",server1,server1,404,"Mar 31, 2025 @ 18:12:26.196","axios/1.8.4","axios/1.8.4","⚠️ Server1 API Error: GET /invalid-route","⚠️ Server1 API Error: GET /invalid-route",error,error
"Mar 31, 2025 @ 18:12:25.979",ozo57JUBGhOokez5hTnb,"app-logs-2025.03.31","-","::ffff:172.18.0.1","::ffff:172.18.0.1",GET,GET,1,"/invalid-route","/invalid-route",server1,server1,404,"Mar 31, 2025 @ 18:12:25.979","axios/1.8.4","axios/1.8.4","⚠️ Server1 API Error: GET /invalid-route","⚠️ Server1 API Error: GET /invalid-route",error,error
"Mar 31, 2025 @ 18:12:25.761",pDo57JUBGhOokez5hTnb,"app-logs-2025.03.31","-","::ffff:172.18.0.1","::ffff:172.18.0.1",GET,GET,1,"/","/",server1,server1,200,"Mar 31, 2025 @ 18:12:25.761","axios/1.8.4","axios/1.8.4","✅ Server1 API Call: GET /","✅ Server1 API Call: GET /",info,info
"Mar 31, 2025 @ 18:12:25.542",lTo57JUBGhOokez5fjkA,"app-logs-2025.03.31","-","::ffff:172.18.0.1","::ffff:172.18.0.1",GET,GET,1,"/","/",server1,server1,200,"Mar 31, 2025 @ 18:12:25.542","axios/1.8.4","axios/1.8.4","✅ Server1 API Call: GET /","✅ Server1 API Call: GET /",info,info
"Mar 31, 2025 @ 18:12:25.324",ljo57JUBGhOokez5fjkA,"app-logs-2025.03.31","-","::ffff:172.18.0.1","::ffff:172.18.0.1",GET,GET,0,"/","/",server1,server1,200,"Mar 31, 2025 @ 18:12:25.324","axios/1.8.4","axios/1.8.4","✅ Server1 API Call: GET /","✅ Server1 API Call: GET /",info,info
"Mar 31, 2025 @ 18:12:25.107",lzo57JUBGhOokez5fjkA,"app-logs-2025.03.31","-","::ffff:172.18.0.1","::ffff:172.18.0.1",GET,GET,1,"/","/",server1,server1,200,"Mar 31, 2025 @ 18:12:25.107","axios/1.8.4","axios/1.8.4","✅ Server1 API Call: GET /","✅ Server1 API Call: GET /",info,info
